Date,time_bin,cloud,rain,temp,wind
2012-11-01,early_am,3.6,0,1.3,7
2012-11-01,am,5.75,0,1.7,12.5
2012-11-01,pm,3.88,0.12,5.29,17.25
2012-11-01,late_pm,2.67,0,4.73,19.67
2012-11-02,early_am,6,0,4.66,16.8
2012-11-02,am,2.88,0,4.88,18.75
2012-11-02,pm,4.75,0,5.45,15.62
2012-11-02,late_pm,4,0,3.5,9.33
2012-11-03,early_am,5.4,0,2.36,7.6
2012-11-03,am,1.88,0,3.6,12
2012-11-03,pm,1.62,0,5.78,13.38
2012-11-03,late_pm,6.33,0,5.23,10.33
2012-11-04,early_am,7,0,6.68,10
2012-11-04,am,7,0.54,6.08,10.62
2012-11-04,pm,6.25,0.12,7,10.88
2012-11-04,late_pm,5.33,0,7.27,14
2012-11-05,early_am,2,0,5.12,9
2012-11-05,am,1.62,0,3.49,8.88
2012-11-05,pm,2.62,0,6.5,10
2012-11-05,late_pm,1.67,0,3.3,9.67
2012-11-06,early_am,3.6,0,3.42,11
2012-11-06,am,6.88,0,7.55,16.25
2012-11-06,pm,6.38,0,9.19,17.62
2012-11-06,late_pm,7.67,0,7.97,16.33
2012-11-07,early_am,8,0,8.18,16.4
2012-11-07,am,6.75,0,9.22,15.75
2012-11-07,pm,7,0,10.19,17.12
2012-11-07,late_pm,7,0,8.67,17
2012-11-08,early_am,6.2,0,8.24,15.6
2012-11-08,am,3.62,0,7.81,13.12
2012-11-08,pm,6.12,0,9.36,10.5
2012-11-08,late_pm,3,0,7.97,10.33
2012-11-09,early_am,7,0.02,8.24,15
2012-11-09,am,7.5,0.68,8.57,14.25
2012-11-09,pm,6.75,0,7.88,11.12
2012-11-09,late_pm,6.33,0,6,9.33
2012-11-10,early_am,4.8,0,4.76,10.2
2012-11-10,am,3.75,0,4.96,10.25
2012-11-10,pm,2.75,0,5.7,10.75
2012-11-10,late_pm,1,0,2.73,10
2012-11-11,early_am,2,0,1.92,10.2
2012-11-11,am,1.75,0,3.5,11
2012-11-11,pm,7,0,7.61,7.5
2012-11-11,late_pm,8,0.27,6.53,4.67
2012-11-12,early_am,8,0.08,6.54,7.2
2012-11-12,am,7.5,0.36,10.62,9.88
2012-11-12,pm,6.5,0,13.06,13.88
2012-11-12,late_pm,7,0,12.47,9.33
2012-11-13,early_am,7.4,0.04,12.78,8.6
2012-11-13,am,7.38,0,12.7,18.5
2012-11-13,pm,7.5,0.01,12.95,18.25
2012-11-13,late_pm,8,0.73,12.13,11.33
2012-11-14,early_am,7.4,0.08,12.22,11
2012-11-14,am,6.62,0,11.65,10.25
2012-11-14,pm,5.75,0,11.15,8.38
2012-11-14,late_pm,5.33,0,9.37,4.33
2012-11-15,early_am,6.8,0,9.3,3.8
2012-11-15,am,6.38,0,9.71,3.75
2012-11-15,pm,5.12,0,10.36,6.75
2012-11-15,late_pm,5.67,0,7.83,5.67
2012-11-16,early_am,5.4,0,6.24,5.6
2012-11-16,am,6.12,0,5.78,2.62
2012-11-16,pm,7.62,0,7.55,4.75
2012-11-16,late_pm,8,0.03,6.5,8
2012-11-17,early_am,7.4,0.06,6.02,7.4
2012-11-17,am,3,0,4.85,10.38
2012-11-17,pm,2.25,0,5.39,12.75
2012-11-17,late_pm,1,0,3.47,11.67
2012-11-18,early_am,1,0,2.28,8.6
2012-11-18,am,4.62,0,3.36,5.62
2012-11-18,pm,7.88,0.61,6.71,9.88
2012-11-18,late_pm,7,0.2,9.17,17.67
2012-11-19,early_am,7,0.06,11.52,18.8
2012-11-19,am,6.88,0.11,12.4,15.75
2012-11-19,pm,6.62,0,11.94,14.25
2012-11-19,late_pm,4.33,0,10,8.33
2012-11-20,early_am,5.4,0,10.38,8.2
2012-11-20,am,6.12,0,12.03,10.38
2012-11-20,pm,3.12,0,10.07,17
2012-11-20,late_pm,7.33,0,7.07,12.67
2012-11-21,early_am,7.6,0,5.68,3.8
2012-11-21,am,4.75,0,7.12,5.88
2012-11-21,pm,2.62,0.01,9.25,10.75
2012-11-21,late_pm,4.67,0.57,9.07,9.33
2012-11-22,early_am,6,0.02,10.94,12.2
2012-11-22,am,8,0.6,9.15,16.38
2012-11-22,pm,6.12,0.12,6.17,13
2012-11-22,late_pm,3.67,0,5.67,17.67
2012-11-23,early_am,4,0,5.22,16.8
2012-11-23,am,3.5,0,5.61,11.88
2012-11-23,pm,1.5,0,5.71,11.25
2012-11-23,late_pm,1,0,2.8,7
2012-11-24,early_am,1.4,0,1.44,5.2
2012-11-24,am,5.12,0,-0.15,2.62
2012-11-24,pm,7.5,0.23,5.09,5.38
2012-11-24,late_pm,8,1.93,4.23,11.33
2012-11-25,early_am,7.6,0.08,3.64,12.2
2012-11-25,am,5,0,2.15,6.5
2012-11-25,pm,7.5,1.01,4.82,9.38
2012-11-25,late_pm,8,3.43,4.87,18
2012-11-26,early_am,8,2.32,4.62,14.6
2012-11-26,am,6.62,0.05,5.2,17.5
2012-11-26,pm,4,0,6.14,16.75
2012-11-26,late_pm,3,0,4.6,15.67
2012-11-27,early_am,1.6,0,3.54,16.8
2012-11-27,am,4.88,0,4.17,14.25
2012-11-27,pm,1,0,3.99,10.12
2012-11-27,late_pm,1,0,1.23,8.33
2012-11-28,early_am,1,0,0.54,9.2
2012-11-28,am,1,0,1.42,8
2012-11-28,pm,1,0,3.17,8.88
2012-11-28,late_pm,1,0,0.43,8.33
2012-11-29,early_am,1,0,-0.28,8.2
2012-11-29,am,5.5,0,0.66,7.5
2012-11-29,pm,7,0,2.61,4.75
2012-11-29,late_pm,7,0,0.9,6.33
2012-11-30,early_am,7,0,0.92,6
2012-11-30,am,5.12,0,2.41,3.12
2012-11-30,pm,4.12,0,4.17,5
2012-11-30,late_pm,3.67,0,0.77,7
2013-01-01,early_am,2.6,0,2.76,14.6
2013-01-01,am,3,0,2.59,16.75
2013-01-01,pm,4.62,0,5.29,13.5
2013-01-01,late_pm,7.67,0,5.2,13.67
2013-01-02,early_am,7.6,0,6.42,10.6
2013-01-02,am,7.88,0,9.46,16.75
2013-01-02,pm,7.25,0,11.56,18.25
2013-01-02,late_pm,7.67,0,11.4,14.67
2013-01-03,early_am,8,0,11.38,11.6
2013-01-03,am,7.5,0,11.19,9.75
2013-01-03,pm,7,0,11.51,12.5
2013-01-03,late_pm,6.67,0,10.8,14
2013-01-04,early_am,7,0,10.18,10.6
2013-01-04,am,5.38,0,9.24,8.88
2013-01-04,pm,6.12,0,9.47,8.75
2013-01-04,late_pm,5.67,0,5.87,1.67
2013-01-05,early_am,2.8,0,6.52,2
2013-01-05,am,6.12,0,10.01,9.5
2013-01-05,pm,6.38,0,11.04,12.88
2013-01-05,late_pm,7,0,9.13,4
2013-01-06,early_am,2.6,0,6.04,4.6
2013-01-06,am,6.62,0,8.86,8.25
2013-01-06,pm,6.88,0,10.32,6.75
2013-01-06,late_pm,7.33,0,10.13,7
2013-01-07,early_am,7.4,0.16,9.36,4.2
2013-01-07,am,8,0.19,9.64,6.12
2013-01-07,pm,7.12,0.04,11.35,13.12
2013-01-07,late_pm,8,0,11.2,9.33
2013-01-08,early_am,8,0,11.78,10.8
2013-01-08,am,7,0.05,10.38,11.25
2013-01-08,pm,2.62,0,6.68,8
2013-01-08,late_pm,1,0,2.17,6.67
2013-01-09,early_am,1,0,1.36,5.2
2013-01-09,am,1.75,0,0.52,4.75
2013-01-09,pm,1.62,0,3.61,3
2013-01-09,late_pm,1.67,0,-1.1,4.67
2013-01-10,early_am,2,0,0.38,4
2013-01-10,am,5.38,0.15,2.66,5.88
2013-01-10,pm,6.38,0.1,5.91,9.5
2013-01-10,late_pm,2.33,0,3.83,9.67
2013-01-11,early_am,0.4,0,3.26,6.6
2013-01-11,am,3.25,0,2.41,4.88
2013-01-11,pm,7.12,0.01,6.54,8.5
2013-01-11,late_pm,4,0,4.47,7.33
2013-01-12,early_am,7,0.24,6.02,8.6
2013-01-12,am,7,0,6.25,9.25
2013-01-12,pm,5.12,0,4.81,11.12
2013-01-12,late_pm,2.33,0,2.53,9.67
2013-01-13,early_am,3.6,0,-0.8,4.8
2013-01-13,am,6.38,0.01,-0.28,5.25
2013-01-13,pm,8,0.11,2.56,11.25
2013-01-13,late_pm,7.33,0,2.37,9.67
2013-01-14,early_am,7,0.08,3.5,12.4
2013-01-14,am,6.12,0.11,4.38,12.88
2013-01-14,pm,2.25,0.01,3.22,13.38
2013-01-14,late_pm,1.67,0,1.27,12.33
2013-01-15,early_am,1,0,0.68,10.8
2013-01-15,am,1.88,0,0.59,10.38
2013-01-15,pm,4.5,0,1.25,4.62
2013-01-15,late_pm,7.33,0,2.17,4.67
2013-01-16,early_am,7,0,4.62,10.6
2013-01-16,am,7.38,0.19,3.92,9.88
2013-01-16,pm,8,0.3,3.99,7.5
2013-01-16,late_pm,8,0.03,4.83,10.33
2013-01-17,early_am,8,0.02,5.5,10.6
2013-01-17,am,7.62,0,5.69,4.38
2013-01-17,pm,7.75,0.03,6.44,19.25
2013-01-17,late_pm,8,0.07,5.6,23
2013-01-18,early_am,8,0.52,4.18,26
2013-01-18,am,8,1.49,2.26,25.75
2013-01-18,pm,8,1.32,2.12,22.88
2013-01-18,late_pm,8,1.47,3.57,17
2013-01-19,early_am,8,0.22,3.3,16
2013-01-19,am,8,0.38,1.82,11.25
2013-01-19,pm,7.5,0.01,1.76,5.88
2013-01-19,late_pm,7.67,0,1.87,9
2013-01-20,early_am,7,0,2.08,11.2
2013-01-20,am,7.25,0,2.01,11.5
2013-01-20,pm,6.88,0.01,2.15,11
2013-01-20,late_pm,7.33,0,2.1,13
2013-01-21,early_am,8,0,2.24,9.4
2013-01-21,am,7.88,0.97,0.76,5.88
2013-01-21,pm,6.88,0.06,1.06,4.88
2013-01-21,late_pm,4.67,0,-0.63,4.33
2013-01-22,early_am,4.6,0,-2.04,2.2
2013-01-22,am,3.5,0,-3.2,3
2013-01-22,pm,7,0,0.72,3.38
2013-01-22,late_pm,6.33,0,-0.13,2.67
2013-01-23,early_am,6.8,0,0.46,4.2
2013-01-23,am,6.75,0,2.31,7
2013-01-23,pm,7,0,2.77,7.75
2013-01-23,late_pm,7,0,2.2,6.33
2013-01-24,early_am,7,0,1.96,5
2013-01-24,am,7.62,0,2.7,3.75
2013-01-24,pm,7.12,0,4.41,7.5
2013-01-24,late_pm,8,0,4.63,11.33
2013-01-25,early_am,8,0,5.12,11.4
2013-01-25,am,7.62,0.47,5.84,12
2013-01-25,pm,7.5,1.96,7.71,12
2013-01-25,late_pm,7,0.3,6.5,17.67
2013-01-26,early_am,1.4,0,3.6,14.8
2013-01-26,am,3.12,0,4.14,9.88
2013-01-26,pm,8,0.19,9.44,14.5
2013-01-26,late_pm,8,0,11.73,18.67
2013-01-27,early_am,6.8,0.28,9.08,17
2013-01-27,am,4.12,0.16,4.34,21.75
2013-01-27,pm,5.12,0.2,3.43,21.88
2013-01-27,late_pm,2.67,0,2.7,18.67
2013-01-28,early_am,2,0,2.9,20
2013-01-28,am,6,0.05,5.34,14.75
2013-01-28,pm,6.75,0.04,9.85,26.5
2013-01-28,late_pm,6.33,0,9.33,25.67
2013-01-29,early_am,4.8,0,7.98,21.8
2013-01-29,am,7.38,0.03,8.32,10.88
2013-01-29,pm,6.5,0.29,10.65,25.25
2013-01-29,late_pm,6,0,7.67,17.33
2013-01-30,early_am,6.6,0.02,7.42,16.8
2013-01-30,am,5.62,0.36,6.2,22.38
2013-01-30,pm,4.38,0.1,6.69,21.25
2013-01-30,late_pm,7,0,6.47,12.67
2013-01-31,early_am,6.2,0.5,7.96,20.8
2013-01-31,am,3.62,0.04,6.4,22
2013-01-31,pm,6.75,0.39,6.46,20
2013-01-31,late_pm,4.33,0,5.53,17.67
